title,publication_date,source,domain,url,collector,region,location_mention
Russia Is Big Winner as Iran War Drains Supplies That Ukraine Needs - WSJ,2026-03-04 08:00:00+00:00,WSJ,news.google.com,https://news.google.com/rss/articles/CBMic0FVX3lxTE5UMGpudUJBSmdGMTFHVV9kMFEyNlNqLUY3bzNQOWYtaTgtbFlDVWZBd0s3ZjZ2TzFlM1BiMjQ1LVg4VkFvV3R5LVk2aTlSSkZKSzNpalMzZWNtMmljU1huNWVEUUtPc25heGVfSkNsRzdBSjQ?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Last Rounds? Status of Key Munitions at the Iran War Ceasefire - CSIS | Center for Strategic and International Studies,2026-04-21 07:00:00+00:00,CSIS | Center for Strategic and International Studies,news.google.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxON0YwSEJvYVBiSTM1clVMcDZjZVB1NUtMTWR5RXlwdnJnYWVZQWFZSG5XQmo0bnVMT3E2VVBsTXhFRGtUREZvRjk1cTJMTDBMbUFYcFlzdEdyaV9HRnFpcUJpQzlDQmRrZzJZQkdxeC1PcTMySmNFZzUyQnM5aFB6VkhYUWE2QnNY?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
"Ukraine faces missile shortage due to Middle East war, says Zelensky - BBC",2026-03-18 07:00:00+00:00,BBC,news.google.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBTVVlzdHZwNW9LNW9OS3lwZGRCN3BzcGNzRjRHSVpMektPdG05NDAwVFFwMlBWakhGcVlpeXZYTWFWeE1MX1ZCY0lRbl96R09uS0VxS0pXVkxjZw?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
The Russia-Ukraine War Enters Its Fifth Year - PBS,2026-02-24 08:00:00+00:00,PBS,news.google.com,https://news.google.com/rss/articles/CBMihwFBVV95cUxQWUtkYTFZaUItak5rRnFXOUFxT0R6SkJ4cUYwT1ZvMmZuRU50aEVYM0QwSkxpcm5ub2J2Qmp6V1pJUkgtVlRlNjBZY3VWQ053R19tcE1PTm4tWFZLUXJkSEtwZHdtcVdzODEtTUFSeWI3bS10UENGTV9QQ09WeVlRUFZQQlRldGs?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Ukraine and Russia both claim progress on front lines while U.S.-brokered talks are on hold - PBS,2026-03-10 07:00:00+00:00,PBS,news.google.com,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNaDhzUlJxelFqZXY5Z0JpRnJ0eWVpSmpFQmdfcVplYW43TkVDSjd2X1JLR3BqSmtjb2JUaGx0dXh5U2dOUlk5T0VISDJpUmRSa2J1eDRFemlEWmZMX09VMEFXMFNzRWNrdFQ2ZHRIV0xLMlhUemVJaFJZdGlUTTBzYjBGWEgzQnBEbHRSTU1wS1Ztek1UaHBqQV9KeVo5UG9ZRkNsR0d4dllua0E0ZFAwTkpjRXhKdkNTdWZUdWplUnRtdDjSAcgBQVVfeXFMTVB5dXJVaTIxaHhHQ1pHYkItMkhIT3FQd3dULTAxaE00RkJvUUk3Mk1kN0NjellzRFloQXc3VHNqSFZqd0tRTkR0aVJPbGl2Z2FwTkk0c0EtM1dyWXFES0s0WTBwaVZ6NFpnd3BOMDI4dXAxLTdJUXp3NW4yYXNEcnQ5bG5XcVhnV1ZqVlpCZ0xGMHBoZ3hHSjlhMnJsRnhnV2tWS1E4d3Ztb2F6MEJBVk55LWhodnI0WTNMSjdWWFRXcHk2d1VEeTE?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
"4 years into Russia's invasion of Ukraine, a look at the war by the numbers - PBS",2026-02-23 08:00:00+00:00,PBS,news.google.com,https://news.google.com/rss/articles/CBMirAFBVV95cUxOS2FNM3dVS0ptaG54TlZhSEZmTkJhcmRqYW9CYzJZUzNzVEpHN1JQWWhlajMtYTIyRlIxUnVBckh2MkdkUGJ0UGxMT1RMRXNSYUhwTnRPbUJRaGdkNEhPa0ExeWVtLV9vc0Yybk5VeGVGcHd5cl9IVzYwQWFqYmh1YXJ5YWh1NjdLNXl1NldDeDNZekxSQ2NJRU05eG5aZlByZmJEMmRDVkpzd1di0gGyAUFVX3lxTE1zQnUxVDVBSmlYTjRBRkdoUUtCVGdDcUxhMGlXZzRNd0RUekQydzlvVWN6azJ4N3VKVEo4S055alptZTJEX2Z1ejk2bkpCeVFKY2kyZkNTVFBKZHJlY2RaZ2kzY1czNWxxc2NxQ19kNS1leHNSU2dDVWo1TlNPeU1oejRRTzUzOFVLTmdseTJ4N3ViUGk5V1d6NllnS2djQTIxZUxJUzlRd1RlWlZFeUExaGc?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Ukraine war briefing: Strikes on Russia’s Primorsk oil port and ships - The Guardian,2026-05-03 07:00:00+00:00,The Guardian,news.google.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxOZThBaVM4Z21WQS1McnpYRmR1c3ZwSFJnY0dYSFdWR21lRGJMZUk1RS1YdVN0VklsMzFPR2ZSdUFpekhaWno4SGZYSFQ4Q1kyYlo4TWdpNnJWVXI1Z0dBcU4tSUJoZ01kaUVfcHFBT3A0RFJOcVJxcDRWcGt1N1JCZThBN0lpMFRLTzBpNXcyWmRBeFhLaTV3aWR2aktRLTRKWUFlODk0RDR2QlRHWHJBWHNQNA?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Missiles made in Ukraine are bringing Putin’s invasion home to Russia - Atlantic Council,2026-03-02 08:00:00+00:00,Atlantic Council,news.google.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxQM1pGSk4zZzkwVEhOajFIRld1MWdmQlRkb0JJajMwSjEzS3c3U3B5blhxc3YtQjM2NzlJcTR1OG5wYlJpZ0NxZ01mVDh0aUpJUHd3RDQ3ZVNqT2VHTF9kZ21qaFMzd0RnUlVJN3pkcjRFYS1aRFN4SVI1NUI3ZnJyeVd2SERaUlNlVmRnLTN3SG1yTlVWaVBSM1ZfWF9VanFBaTJQdWlPRTlQT3F6YWp3U3A0WFdQekFKRFEwWg?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Zelensky fears Trump's Iran war could hurt Ukraine - BBC,2026-03-03 08:00:00+00:00,BBC,news.google.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5sX1VtWENTeERSTi1sMUVKbmJBalJEbVFkTDRhbDJ4RWE5UmlZenFGSEJnaVNaeG9WWTVWVEpTUU4tYlBVRnQtUFdlVHBMRHhxbmtVT2xfWWNQQQ?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
"Russian attacks on Ukraine kill 16 people, including a child - Al Jazeera",2026-04-16 07:00:00+00:00,Al Jazeera,news.google.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPUXZfQXpwWHliY0FmMzFfSjVFLVVEdUwtYjg0WFp5MTN1VERjaGpLVVgwRjlHYk81eHpPaktnOTItRWp1M1NBOC0yZlJOYlliSDdMRXBDREZfRmU5UFNQcV9IUGEtWE1kem1ncm1UX3gtaTQ2TmpqMVY1Q0tuaFlYNS1sNXpqVWMybHFVMEF2eThqSFJGTzdTcHc4UGU2anlaQ0V2UzNNd2hJZ9IBrwFBVV95cUxPM1poX2RERzNGdS1hTVVMOUFiZlNUR05mRjJGdDlaVnp5OGIxWXdVREJzVXQ1Y0JxWjhSUDF0WkFVbFVIUkNoVWVIU0JLbElMNlFVVEo5alM0ZDJkZVo0cV9IRVJ3TVFwXzg5XzQ5NG5GMkh5Ri1KSnV6Mjc3Sks4NGE0SGxtTWVJYS1iS2VGellKdG5CS2Q4enFlQTVia2ZOWWNucHBPcXRoMmJoWG04?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
