title,publication_date,source,domain,url,region,collector,location_mention
Houthi rebels have shot down 7 US Reaper drones worth $200 million in recent weeks,2025-04-25 04:15:00+00:00,United States,bostonglobe.com,https://www.bostonglobe.com/2025/04/24/world/houthi-rebels-have-shot-down-7-us-reaper-drones-worth-200-million-recent-weeks/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
美军核动力航母 、 舰队再遭两次袭击 ！ 特朗普晒视频 ： 美军精准空袭胡塞武装集会现场,2025-04-05 02:15:00+00:00,China,nbd.com.cn,https://www.nbd.com.cn/articles/2025-04-05/3819501.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
U . S . Airstrikes Target Yemen Houthi Terrorist Oil Port,2025-04-18 16:15:00+00:00,United States,breitbart.com,https://www.breitbart.com/europe/2025/04/18/u-s-airstrikes-target-yemens-houthi-terrorist-oil-port/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthi rebels have shot down 7 US Reaper drones worth $200 million in recent weeks,2025-04-25 02:15:00+00:00,United States,isp.netscape.com,https://isp.netscape.com/news/world/story/0001/20250424/e6e97a7131c48640ccf74b1916628234,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"Britain , U . S . attack Houthi drone manufacturing targets in Yemen",2025-04-30 11:45:00+00:00,United States,upi.com,https://www.upi.com/Top_News/US/2025/04/30/US-Yemen-Houthi-strikes/5271746001327/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Israel downs Yemen - fired missile claimed by Houthis,2025-05-02 08:15:00+00:00,Saudi Arabia,arabnews.com,https://www.arabnews.com/node/2599263/middle-east,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
IDF attacks suspected Hezbollah missile site in Beirut,2025-04-27 17:30:00+00:00,Ireland,rte.ie,https://www.rte.ie/news/middle-east/2025/0427/1509749-israel-lebanon/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthi rebels have shot down 7 US Reaper drones worth $200 million in recent weeks,2025-04-25 02:45:00+00:00,United States,winchesterstar.com,https://www.winchesterstar.com/associated_press/washington/houthi-rebels-have-shot-down-7-us-reaper-drones-worth-200-million-in-recent-weeks/article_c3aab14e-022a-565a-92fd-fe53b26d0d40.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthi rebels have shot down 7 US Reaper drones worth $200 million in recent weeks,2025-04-25 00:45:00+00:00,Canada,thepeterboroughexaminer.com,https://www.thepeterboroughexaminer.com/news/world/united-states/houthi-rebels-have-shot-down-7-us-reaper-drones-worth-200-million-in-recent-weeks/article_e63da141-90ee-5b48-88a6-9afe0b81485b.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Israeli military says missile fired from Yemen,2025-04-13 20:00:00+00:00,Turkey,hurriyetdailynews.com,https://www.hurriyetdailynews.com/israeli-military-says-missile-fired-from-yemen-208015,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
ترامب : واشنطن قد تعود للعمليات العسكرية ضد الحوثيين حال شنوا هجوما,2025-05-15 12:30:00+00:00,Libya,alwasat.ly,https://alwasat.ly/news/arabic/476840,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Yemen Vice Prez calls for international support against Houthi threats,2025-04-10 02:00:00+00:00,India,prokerala.com,https://www.prokerala.com/news/articles/a1624072.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Υεμένη : Για νέους βομβαρδισμούς των ΗΠΑ κάνουν λόγο οι Χούθι,2025-05-05 01:15:00+00:00,Greece,in.gr,https://www.in.gr/2025/05/05/world/yemeni-gia-neous-vomvardismous-ton-ipa-kanoun-logo-oi-xouthi/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Yemeni govt says U . S . airstrike kills 70 Houthi militants in Hodeidah,2025-04-04 18:00:00+00:00,United States,bignewsnetwork.com,https://www.bignewsnetwork.com/news/278144231/yemeni-govt-says-us-airstrike-kills-70-houthi-militants-in-hodeidah,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Yemen Vice Prez calls for international support against Houthi threats,2025-04-10 08:00:00+00:00,India,siasat.com,https://www.siasat.com/yemens-vice-prez-calls-for-international-support-against-houthi-threats-3205574/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Israeli Attack on Syria Kills 9 ; Suspected U . S . Strike on Yemen Kills 5,2025-04-03 15:00:00+00:00,United States,democracynow.org,https://www.democracynow.org/2025/4/3/headlines/israeli_attack_on_syria_kills_9_suspected_us_strike_on_yemen_kills_5,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthi Rebels Have Shot Down 7 US Reaper Drones Worth $200 Million In Recent Weeks,2025-04-28 01:45:00+00:00,United States,theyeshivaworld.com,https://www.theyeshivaworld.com/news/general/2392364/houthi-rebels-have-shot-down-7-us-reaper-drones-worth-200-million-in-recent-weeks.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"Yémen : Des dizaines de migrants africains tués lors dune frappe américaine , selon les Houthis",2025-04-28 11:00:00+00:00,United Kingdom,bbc.com,https://www.bbc.com/afrique/articles/ckge4xnmd97o,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthi Klaim Rudal Hipersoniknya Serang Pangkalan Jet Tempur Siluman F - 35 Israel,2025-04-27 02:45:00+00:00,Indonesia,international.sindonews.com,https://international.sindonews.com/read/1560103/43/houthi-klaim-rudal-hipersoniknya-serang-pangkalan-jet-tempur-siluman-f-35-israel-1745712244,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
إعلام حوثي : عدوان أمريكي علي محافظة البيضاء وسط اليمن,2025-04-15 18:45:00+00:00,Egypt,vetogate.com,https://www.vetogate.com/5390304,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
