station_id,name,brand,operator,latitude,longitude,source
node/4699018204,Opet Bakırköy,Opet,Opet Petrolcülük A.Ş.,40.9877235,28.883948,OpenStreetMap Overpass
node/4699018205,Opet Beyoğlu,Opet,Opet Petrolcülük A.Ş.,41.041235,28.967225,OpenStreetMap Overpass
node/4699018213,Opet Tuzla,Opet,Opet Petrolcülük A.Ş.,40.9076681,29.3433329,OpenStreetMap Overpass
node/4699018226,Opet Bahçelievler Çobançeşme,Opet,Erhan Dedeoğlu Petrol,40.9930848,28.8272163,OpenStreetMap Overpass
node/4699018227,Opet Bağcılar,Opet,Opet Petrolcülük A.Ş.,41.0547206,28.8405747,OpenStreetMap Overpass
node/4699018229,Opet Ümraniye,Opet,Opet Petrolcülük A.Ş.,41.0225022,29.1159204,OpenStreetMap Overpass
node/4699018232,Aytemiz,Aytemiz,,41.0582146,28.7307071,OpenStreetMap Overpass
node/4699018234,Opet,Opet,Opet Petrolcülük A.Ş.,41.023118,28.686603,OpenStreetMap Overpass
node/4699018235,Shell,Shell,,40.9053415,29.2853766,OpenStreetMap Overpass
node/4699018244,Petrol Ofisi,Petrol Ofisi,Opet Petrolcülük A.Ş.,41.00829,29.02304,OpenStreetMap Overpass
node/4699018247,Opet,Opet,,40.881089,29.2323267,OpenStreetMap Overpass
node/4699018248,Petrol Ofisi,Petrol Ofisi,,40.891269,29.17731,OpenStreetMap Overpass
node/4699018252,Opet Beylikdüzü,Opet,Opet Petrolcülük A.Ş.,40.99775,28.6052587,OpenStreetMap Overpass
node/4699018254,Opet Esenler Fevzi Çakmak,Opet,Opet Petrolcülük A.Ş.,41.0490769,28.8768088,OpenStreetMap Overpass
node/4699018255,Opet Bağcılar,Opet,Opet Petrolcülük A.Ş.,41.0477,28.859748,OpenStreetMap Overpass
node/4699018264,Opet Beylikdüzü,Opet,Opet Petrolcülük A.Ş.,40.989872,28.668452,OpenStreetMap Overpass
node/4699018265,Opet Bahçelievler,Opet,Opet Petrolcülük A.Ş.,41.0115506,28.828365,OpenStreetMap Overpass
node/4699018282,Opet Kartal,Opet,Opet Petrolcülük A.Ş.,40.912108,29.191968,OpenStreetMap Overpass
node/4699018284,Opet Esenyurt Güzelyurt,Opet,Opet Petrolcülük A.Ş.,41.006514,28.6676766,OpenStreetMap Overpass
node/4699018420,Opet Sultangazi,Opet,Opet Petrolcülük A.Ş.,41.131936,28.826931,OpenStreetMap Overpass
node/4699018428,Petrol Ofisi,Petrol Ofisi,Opet Petrolcülük A.Ş.,40.9067741,29.2527557,OpenStreetMap Overpass
node/4699018459,Opet Çayırova,Opet,Opet Petrolcülük A.Ş.,40.8712321,29.3819844,OpenStreetMap Overpass
node/4699018475,Mehmetçik Petrol,,,41.032443,28.883817,OpenStreetMap Overpass
node/4699018488,Opet Maltepe,Opet,Opet Petrolcülük A.Ş.,40.9426842,29.1438714,OpenStreetMap Overpass
node/4699018940,Opet İkitelli,Opet,Opet Petrolcülük A.Ş.,41.060352,28.78946,OpenStreetMap Overpass
node/4699018970,Opet Çekmeköy,Opet,Opet Petrolcülük A.Ş.,41.109934,29.310702,OpenStreetMap Overpass
node/4699018987,Opet Gebze,Opet,Opet Petrolcülük A.Ş.,40.804895,29.367133,OpenStreetMap Overpass
node/4699019343,Opet Bağcılar Göztepe,Opet,Opet Petrolcülük A.Ş.,41.0601373,28.8410873,OpenStreetMap Overpass
node/4699019354,Opet,Opet,Opet,41.048424,28.984989,OpenStreetMap Overpass
node/4699019360,Opet Ümraniye,Opet,Opet Petrolcülük A.Ş.,41.0079553,29.2016636,OpenStreetMap Overpass
node/4699019373,Opet,Opet,Opet Petrolcülük A.Ş.,40.8051175,29.4334382,OpenStreetMap Overpass
node/4699019379,Opet Ataşehir,Opet,Opet Petrolcülük A.Ş.,40.982402,29.106104,OpenStreetMap Overpass
node/4699019380,Opet Arnavutköy,Opet,Opet Petrolcülük A.Ş.,41.183317,28.597697,OpenStreetMap Overpass
node/4699019947,Opet Pendik,Opet,Opet Petrolcülük A.Ş.,40.9015949,29.2470027,OpenStreetMap Overpass
node/4699019952,Opet Esenyurt,Opet,Opet Petrolcülük A.Ş.,41.05038,28.62848,OpenStreetMap Overpass
node/4699019968,Opet,Opet,Opet Petrolcülük A.Ş.,40.895696,29.2490574,OpenStreetMap Overpass
node/4699019969,Opet Tuzla,Opet,Opet Petrolcülük A.Ş.,40.866335,29.3348073,OpenStreetMap Overpass
node/4699020193,Opet Beykoz,Opet,Opet Petrolcülük A.Ş.,41.094793,29.090877,OpenStreetMap Overpass
node/4699020197,Opet Tuzla,,Opet Petrolcülük A.Ş.,40.871794,29.371641,OpenStreetMap Overpass
node/4699020285,Opet Tuzla,Opet,Opet Petrolcülük A.Ş.,40.8374032,29.2960611,OpenStreetMap Overpass
node/4699022517,Opet Gebze,Opet,Opet Petrolcülük A.Ş.,40.807421,29.505688,OpenStreetMap Overpass
node/4699022949,Opet Sultanbeyli,Opet,Opet Petrolcülük A.Ş.,40.9681282,29.2531294,OpenStreetMap Overpass
node/4699022950,Opet Kartal,Opet,Opet Petrolcülük A.Ş.,40.9104,29.211534,OpenStreetMap Overpass
node/4699022951,Opet Ümraniye,Opet,Opet Petrolcülük A.Ş.,40.98387,29.165959,OpenStreetMap Overpass
node/4699022952,Opet Pendik,Opet,Opet Petrolcülük A.Ş.,40.859498,29.2815455,OpenStreetMap Overpass
node/4699022953,Opet Ataşehir,Opet,Opet Petrolcülük A.Ş.,40.987731,29.143805,OpenStreetMap Overpass
node/4699022955,Opet Bağcılar,Opet,Opet Petrolcülük A.Ş.,41.050131,28.812081,OpenStreetMap Overpass
node/4699022956,Opet Topkapı,Opet,Opet Petrolcülük A.Ş.,41.019717,28.9088162,OpenStreetMap Overpass
node/4699022960,Opet Islah Petrol,Opet,Opet Petrolcülük A.Ş.,41.205103,28.728262,OpenStreetMap Overpass
node/4699022962,Opet,Opet,Opet Petrolcülük A.Ş.,41.031458,29.079681,OpenStreetMap Overpass
node/4699022963,Opet Esenkent,Opet,Opet Petrolcülük A.Ş.,41.0554191,28.6719297,OpenStreetMap Overpass
node/4699022965,Opet Tuzla,Opet,Opet Petrolcülük A.Ş.,40.883978,29.349287,OpenStreetMap Overpass
node/4699022966,Shell Sabiha Gökçen,Shell,Shell Türkiye,40.9266858,29.3175598,OpenStreetMap Overpass
node/4699022970,Opet Ümraniye,Opet,Opet Petrolcülük A.Ş.,41.008467,29.2159064,OpenStreetMap Overpass
node/4699022971,Opet Büyükçekmece,Opet,Opet Petrolcülük A.Ş.,41.064034,28.621961,OpenStreetMap Overpass
node/4699022975,Opet Pendik,Opet,Opet Petrolcülük A.Ş.,40.891373,29.233194,OpenStreetMap Overpass
node/4699022981,Shell,Shell,Shell & Turcas,41.028799,28.790782,OpenStreetMap Overpass
node/4699023892,Opet Sancaktepe,Opet,Opet Petrolcülük A.Ş.,41.007237,29.244293,OpenStreetMap Overpass
node/4699023902,Opet Şile,Opet,Opet Petrolcülük A.Ş.,41.156979,29.628344,OpenStreetMap Overpass
node/4699023905,Opet Sancaktepe,Opet,Opet Petrolcülük A.Ş.,40.9776,29.2206066,OpenStreetMap Overpass
node/4699023914,Opet Sultanbeyli,Opet,Opet Petrolcülük A.Ş.,40.990082,29.263793,OpenStreetMap Overpass
node/4699023919,Opet Esenyurt,Opet,Opet Petrolcülük A.Ş.,41.0179351,28.6462917,OpenStreetMap Overpass
node/4699023920,Opet Büyükçekmece Kamiloba,Opet,Opet Petrolcülük A.Ş.,41.0353809,28.4457793,OpenStreetMap Overpass
node/4699023925,Opet,Opet,Opet Petrolcülük A.Ş.,40.8865592,29.2418964,OpenStreetMap Overpass
node/4699023930,Opet Üsküdar,Opet,Opet Petrolcülük A.Ş.,41.009864,29.012243,OpenStreetMap Overpass
node/4699023934,Opet Pendik,Opet,Opet Petrolcülük A.Ş.,40.885945,29.286563,OpenStreetMap Overpass
node/4699023938,Opet Bağcılar,Opet,Opet Petrolcülük A.Ş.,41.0275113,28.8574214,OpenStreetMap Overpass
node/4718176989,Petrol Ofisi - Bulut Petrol,Petrol Ofisi,,40.9240928,29.151085,OpenStreetMap Overpass
node/4718388547,Opet,Opet,,40.9377236,29.138014,OpenStreetMap Overpass
node/4718388548,Shell,Shell,,40.9388796,29.1361722,OpenStreetMap Overpass
node/4718388549,Total,TotalEnergies,,40.9397682,29.1332185,OpenStreetMap Overpass
node/4718485057,,,,40.9202486,29.1476072,OpenStreetMap Overpass
node/4718488092,Shell,Shell,,40.9111444,29.1953199,OpenStreetMap Overpass
node/4718488093,,,,40.9089065,29.2027174,OpenStreetMap Overpass
node/4718488098,Shell,Shell,,40.902499,29.2174843,OpenStreetMap Overpass
node/4718488104,Total,TotalEnergies,,40.8943224,29.2284918,OpenStreetMap Overpass
node/4718712547,Opet,Opet,,40.904372,29.2786929,OpenStreetMap Overpass
node/4718712560,Total,TotalEnergies,,40.9079618,29.2933732,OpenStreetMap Overpass
node/4718712575,Petrol Ofisi,Petrol Ofisi,,40.914902,29.303618,OpenStreetMap Overpass
node/4719094364,,,,41.1327928,28.4703103,OpenStreetMap Overpass
node/4720232022,Shell,Shell,,40.8940497,29.1988693,OpenStreetMap Overpass
node/4720232036,,,,40.856096,29.2912778,OpenStreetMap Overpass
node/4720232050,,,,40.824074,29.3519893,OpenStreetMap Overpass
node/4720232051,,,,40.8171858,29.3625531,OpenStreetMap Overpass
node/4724575294,TotalEnergies,TotalEnergies,Baltacıoğlu Petrol,41.0521545,29.2397197,OpenStreetMap Overpass
node/4730251788,Shell,Shell,,41.0657131,29.0022542,OpenStreetMap Overpass
node/4771613236,Opet,Opet,Opet,41.223032,28.4551489,OpenStreetMap Overpass
node/4773473932,,,,40.8234864,29.4325764,OpenStreetMap Overpass
node/4779866887,Opet,Opet,Opet,40.9264845,29.3156064,OpenStreetMap Overpass
node/4779867627,,,,40.9650131,29.2720354,OpenStreetMap Overpass
node/4779867647,Petrol Ofisi,Petrol Ofisi,Petrol Ofisi,40.9748828,29.2406807,OpenStreetMap Overpass
node/4779890036,Shell,Shell,,40.899134,29.2686629,OpenStreetMap Overpass
node/4807075794,Aygaz,Aygaz,,40.9816359,28.8908742,OpenStreetMap Overpass
node/4826423021,,,,40.9144783,29.140873,OpenStreetMap Overpass
node/4835446168,,,,40.9086602,29.358626,OpenStreetMap Overpass
node/4838961896,Class,,,41.0071529,29.1882859,OpenStreetMap Overpass
node/4845792383,BP,BP,,41.0414243,28.9796462,OpenStreetMap Overpass
node/4845792420,Shell,Shell,,41.0405187,28.9673371,OpenStreetMap Overpass
node/4845792521,Petro Ofisi,,,41.0416582,28.9664429,OpenStreetMap Overpass
node/4845792522,Shell,Shell,,41.0381426,28.9680383,OpenStreetMap Overpass
node/4845792523,,,,41.0384552,28.9734829,OpenStreetMap Overpass
node/4845792524,,,,41.0388062,28.9726479,OpenStreetMap Overpass
node/4845792525,Total Milangaz,TotalEnergies,,41.0398116,28.9775232,OpenStreetMap Overpass
node/4846902293,Total,TotalEnergies,,41.0118047,28.8178457,OpenStreetMap Overpass
node/4846902294,,,,41.0154366,28.8243738,OpenStreetMap Overpass
node/4846902295,BP,BP,,41.0138923,28.8259069,OpenStreetMap Overpass
node/4846902318,,,,41.0334125,28.8513955,OpenStreetMap Overpass
node/4846915123,,,,41.0367739,28.852891,OpenStreetMap Overpass
node/4846915132,,,,41.0420795,28.8510572,OpenStreetMap Overpass
node/4846948582,Opet,Opet,,41.0127401,28.9006253,OpenStreetMap Overpass
node/4855516912,Alpet,Alpet,,40.9936173,28.7095758,OpenStreetMap Overpass
node/4855518349,Shell,Shell,,41.019443,28.6768201,OpenStreetMap Overpass
node/4901564418,Shell,Shell,,41.0548455,28.8759011,OpenStreetMap Overpass
node/4908865216,Opet,Opet,,41.002535,28.7874784,OpenStreetMap Overpass
node/4908865534,Petrol Ofisi,Petrol Ofisi,,41.0345575,28.8333113,OpenStreetMap Overpass
node/4908865535,,,,41.0399047,28.833644,OpenStreetMap Overpass
node/4908865540,,,,41.045908,28.8298889,OpenStreetMap Overpass
node/4908865541,BP,BP,,41.0567651,28.830478,OpenStreetMap Overpass
node/4908865542,Kadoil,Kadoil,,41.058061,28.830917,OpenStreetMap Overpass
node/4908865547,Opet,Opet,,41.0588357,28.8311038,OpenStreetMap Overpass
node/4908865548,Shell,Shell,,41.059952,28.8314074,OpenStreetMap Overpass
node/4908865549,Aytemiz,Aytemiz,,41.0599766,28.8321172,OpenStreetMap Overpass
node/4908893564,BP,BP,,40.9950934,28.8950522,OpenStreetMap Overpass
node/4924075282,,,,41.1859346,28.7392703,OpenStreetMap Overpass
node/4926375965,Petrol Ofisi,Petrol Ofisi,,41.0679112,28.8110015,OpenStreetMap Overpass
node/4952623932,Petrol Ofisi,Petrol Ofisi,,41.0612495,29.0012598,OpenStreetMap Overpass
node/4956703288,,,,41.027129,28.8568809,OpenStreetMap Overpass
node/4963093911,Türkiye Petrolleri,Türkiye Petrolleri,,41.0569121,28.951107,OpenStreetMap Overpass
node/4963094240,Petrol Ofisi,Petrol Ofisi,,41.0852259,28.9781424,OpenStreetMap Overpass
node/4965256366,Petrol Ofisi,Petrol Ofisi,,41.0099945,28.7944248,OpenStreetMap Overpass
node/4965256582,,,,41.0293707,28.795751,OpenStreetMap Overpass
node/4978760118,Petrol Ofisi,Petrol Ofisi,,40.9916607,28.8380623,OpenStreetMap Overpass
node/4979178070,Opet,Opet,,40.9853444,28.785827,OpenStreetMap Overpass
node/4986401524,Total,TotalEnergies,,41.0313261,28.8229913,OpenStreetMap Overpass
node/4992027984,,,,41.033828,28.6801411,OpenStreetMap Overpass
node/4992280808,Aytemiz,Aytemiz,,41.0598337,28.6251746,OpenStreetMap Overpass
node/4992280809,,,,41.0408294,28.6259466,OpenStreetMap Overpass
node/4992280814,Shell,Shell,,41.0370171,28.6247136,OpenStreetMap Overpass
node/4992280815,,,,41.0270519,28.6266991,OpenStreetMap Overpass
node/5008916861,BP Veliefendi,BP,BP,40.9881116,28.8842153,OpenStreetMap Overpass
node/5022544104,,,,40.8504251,29.4068927,OpenStreetMap Overpass
node/5022544109,,,,40.8569379,29.3977989,OpenStreetMap Overpass
node/5022546223,,,,40.8622103,29.3885162,OpenStreetMap Overpass
node/5022546228,,,,40.8634323,29.3909564,OpenStreetMap Overpass
node/5022546235,,,,40.8826491,29.4158287,OpenStreetMap Overpass
node/5022546236,,,,40.8855778,29.41396,OpenStreetMap Overpass
node/5022546237,,,,40.903528,29.3945702,OpenStreetMap Overpass
node/5022629078,Aytepe petrol,,,40.899745,29.3511643,OpenStreetMap Overpass
node/5022629117,Shell,Shell,,40.8986284,29.2596818,OpenStreetMap Overpass
node/5022629118,Türkiye Petrolleri,Türkiye Petrolleri,,40.8975594,29.2541411,OpenStreetMap Overpass
node/5022629333,TotalEnergies,TotalEnergies,,40.8903882,29.2360378,OpenStreetMap Overpass
node/5022636557,,,,40.896725,29.2226562,OpenStreetMap Overpass
node/5022636564,,,,40.9134792,29.1515461,OpenStreetMap Overpass
node/5022636573,,,,40.9164725,29.1466453,OpenStreetMap Overpass
node/5022817283,Shell,Shell,,40.8751897,29.2543039,OpenStreetMap Overpass
node/5026301608,,,,40.8006369,29.3879794,OpenStreetMap Overpass
node/5026301768,,,,40.808046,29.3782627,OpenStreetMap Overpass
node/5026301769,,,,40.8118859,29.3732478,OpenStreetMap Overpass
node/5026301770,Petrol Ofisi,Petrol Ofisi,,40.8177071,29.3668386,OpenStreetMap Overpass
node/5026301771,Aytemiz,Aytemiz,,40.8099221,29.3699652,OpenStreetMap Overpass
node/5031730251,Petrol Ofisi,Petrol Ofisi,,41.0437708,29.2791974,OpenStreetMap Overpass
node/5038130206,,,,41.0133611,28.7874587,OpenStreetMap Overpass
node/5038131041,Shell,Shell,,40.9920052,28.8332033,OpenStreetMap Overpass
node/5042266233,Total,TotalEnergies,,41.0321189,28.8002098,OpenStreetMap Overpass
node/5048210016,Aytemiz Esenyurt Tabela,Aytemiz,,41.0216485,28.6875944,OpenStreetMap Overpass
node/5048210226,,,,41.0134315,28.695405,OpenStreetMap Overpass
node/5050081268,Shell,Shell,,40.9234235,29.151039,OpenStreetMap Overpass
node/5052683541,Petrol Ofisi,Petrol Ofisi,,40.9504382,29.1627223,OpenStreetMap Overpass
node/5052765899,,,,40.9667645,29.2156254,OpenStreetMap Overpass
node/5052765904,,,,40.9664324,29.2164926,OpenStreetMap Overpass
node/5052766527,,,,40.9695598,29.2201602,OpenStreetMap Overpass
node/5052766554,,,,40.9806034,29.2202745,OpenStreetMap Overpass
node/5052766565,Opet,Opet,,40.986969,29.2261047,OpenStreetMap Overpass
node/5052833560,,,,40.9927015,29.2231235,OpenStreetMap Overpass
node/5053328286,,,,41.0038954,29.2168851,OpenStreetMap Overpass
node/5053408890,BP,BP,,41.0097306,29.210874,OpenStreetMap Overpass
node/5053408891,Petrol Ofisi,Petrol Ofisi,,41.0103626,29.2103946,OpenStreetMap Overpass
node/5053408898,,,,41.0125502,29.2073884,OpenStreetMap Overpass
node/5053409386,,,,41.0136153,29.1912113,OpenStreetMap Overpass
node/5053409725,Petrol Ofisi,Petrol Ofisi,,41.0165644,29.1777204,OpenStreetMap Overpass
node/5053458360,BP,BP,,41.0181927,29.171658,OpenStreetMap Overpass
node/5056240692,Shell,Shell,,40.9293369,29.1295388,OpenStreetMap Overpass
node/5057611913,Petrol Ofisi Benzin İstasyonu,Petrol Ofisi,,41.0274482,28.8475262,OpenStreetMap Overpass
node/5057611914,,,,41.0285322,28.846468,OpenStreetMap Overpass
node/5057611934,,,,41.0417944,28.8497953,OpenStreetMap Overpass
node/5057636755,,,,41.0540287,28.8335832,OpenStreetMap Overpass
node/5057636838,,,,41.0131146,28.8468078,OpenStreetMap Overpass
node/5057669024,Shell,Shell,,41.0098412,28.8310577,OpenStreetMap Overpass
node/5057698664,Milangaz,,,41.0080791,28.7949318,OpenStreetMap Overpass
node/5057699129,Shell,Shell,,41.0443621,28.7820226,OpenStreetMap Overpass
node/5075961008,BP,BP,BP,41.0164313,28.9492848,OpenStreetMap Overpass
node/5084178833,Shell,Shell,Shell,41.1674095,29.5420488,OpenStreetMap Overpass
node/5098722412,Shell,Shell,Balmumcu,41.0614084,29.0110721,OpenStreetMap Overpass
node/5105359497,,,,41.0283367,28.878253,OpenStreetMap Overpass
node/5107277905,,,,41.0165067,29.0302075,OpenStreetMap Overpass
node/5107315776,Aytemiz,Aytemiz,,41.0047684,29.0353401,OpenStreetMap Overpass
node/5107401717,Petrol Ofisi,Petrol Ofisi,,40.98367,28.6439262,OpenStreetMap Overpass
node/5107498125,Alpet,Alpet,,40.9893865,28.6188569,OpenStreetMap Overpass
node/5108169540,,,,41.0306299,28.6625701,OpenStreetMap Overpass
node/5108170071,,,,41.0316929,28.6575073,OpenStreetMap Overpass
node/5108791878,Petrol Ofisi,Petrol Ofisi,,40.9887409,28.6676454,OpenStreetMap Overpass
node/5110198325,,,,41.0478767,28.9685879,OpenStreetMap Overpass
node/5112306755,,,,41.0423654,28.676434,OpenStreetMap Overpass
node/5113465273,BP,BP,,41.0177752,28.9509568,OpenStreetMap Overpass
node/5113486747,Total,TotalEnergies,,41.0286169,28.9369637,OpenStreetMap Overpass
node/5113592145,BP,BP,,41.0070444,28.9368651,OpenStreetMap Overpass
node/5113615724,Aytemiz,Aytemiz,,41.0297906,28.939052,OpenStreetMap Overpass
node/5115935420,Opet,Opet,,41.0072114,28.9284307,OpenStreetMap Overpass
node/5128217778,,,,41.0502394,28.859229,OpenStreetMap Overpass
node/5128217779,,,,41.0522075,28.8581586,OpenStreetMap Overpass
node/5128217780,,,,41.0540279,28.8544678,OpenStreetMap Overpass
node/5132939928,,,,41.0568105,28.7280349,OpenStreetMap Overpass
node/5147134748,Alpet,Alpet,,41.1366543,28.8170534,OpenStreetMap Overpass
node/5149577694,Petrol Ofisi,Petrol Ofisi,,40.9717653,29.2485139,OpenStreetMap Overpass
node/5151220720,,,,40.967791,29.2699856,OpenStreetMap Overpass
node/5151430409,Total,TotalEnergies,,40.9697013,29.2659915,OpenStreetMap Overpass
node/5158327351,,,,40.9406294,29.2852556,OpenStreetMap Overpass
node/5208250439,Shell,Shell,Shell,40.9605351,29.2916233,OpenStreetMap Overpass
node/5229773921,,,,40.8792929,29.2204988,OpenStreetMap Overpass
node/5244129822,Lukoil,Lukoil,,40.9902534,29.1758465,OpenStreetMap Overpass
node/5244796137,Opet Tahtakale,Opet,,41.0151886,28.968297,OpenStreetMap Overpass
node/5244801830,Kumkapi TotalEnergies,TotalEnergies,TotalEnergies,41.0017886,28.9725372,OpenStreetMap Overpass
node/5253548270,Shell benzinci,Shell,shell,40.9939415,28.8945802,OpenStreetMap Overpass
node/5254108623,Shell,Shell,,41.176591,28.8902738,OpenStreetMap Overpass
node/5272471198,Shell,Shell,,40.9573939,29.0976751,OpenStreetMap Overpass
node/5281796616,Class Petrol,,,40.8843453,29.2359312,OpenStreetMap Overpass
node/5282028235,,,,40.9382947,29.1408662,OpenStreetMap Overpass
node/5283303556,Petrol Ofisi,Petrol Ofisi,,40.981511,29.0686312,OpenStreetMap Overpass
node/5283668028,,,,41.027751,28.9084234,OpenStreetMap Overpass
node/5290533598,Shell,Shell,,41.007132,29.1903445,OpenStreetMap Overpass
node/5291682316,Petrol Ofisi Arasena,Petrol Ofisi,Arasena Enerji Petrol A.Ş.,40.8908871,29.2632647,OpenStreetMap Overpass
